,index,Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
29,17,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,"Sep 15, 2007",T20I # 30
30,18,South Africa,Bangladesh,South Africa,7 wickets,Cape Town,"Sep 15, 2007",T20I # 31
31,19,India,New Zealand,New Zealand,10 runs,Johannesburg,"Sep 16, 2007",T20I # 32
32,20,Australia,Bangladesh,Australia,9 wickets,Cape Town,"Sep 16, 2007",T20I # 33
33,21,South Africa,England,South Africa,19 runs,Cape Town,"Sep 16, 2007",T20I # 34
34,22,Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,"Sep 17, 2007",T20I # 35
35,23,England,New Zealand,New Zealand,5 runs,Durban,"Sep 18, 2007",T20I # 36
36,24,Australia,Pakistan,Pakistan,6 wickets,Johannesburg,"Sep 18, 2007",T20I # 37
37,25,Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,"Sep 18, 2007",T20I # 38
38,26,South Africa,New Zealand,South Africa,6 wickets,Durban,"Sep 19, 2007",T20I # 39
39,27,England,India,India,18 runs,Durban,"Sep 19, 2007",T20I # 40
40,28,Australia,Sri Lanka,Australia,10 wickets,Cape Town,"Sep 20, 2007",T20I # 41
41,29,Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,"Sep 20, 2007",T20I # 42
42,30,South Africa,India,India,37 runs,Durban,"Sep 20, 2007",T20I # 43
43,31,New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,"Sep 22, 2007",T20I # 44
44,32,Australia,India,India,15 runs,Durban,"Sep 22, 2007",T20I # 45
45,33,India,Pakistan,India,5 runs,Johannesburg,"Sep 24, 2007",T20I # 46
46,34,India,Australia,India,7 wickets,Mumbai (BS),"Oct 20, 2007",T20I # 47
47,35,South Africa,New Zealand,South Africa,3 wickets,Johannesburg,"Nov 23, 2007",T20I # 48
48,36,Australia,New Zealand,Australia,54 runs,Perth,"Dec 11, 2007",T20I # 49
49,37,South Africa,West Indies,West Indies,5 wickets,Port Elizabeth,"Dec 16, 2007",T20I # 50
50,0,South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Jan 18, 2008",T20I # 51
51,1,Australia,India,Australia,9 wickets,Melbourne,"Feb 1, 2008",T20I # 52
52,2,New Zealand,England,England,32 runs,Auckland,"Feb 5, 2008",T20I # 53
53,3,New Zealand,England,England,50 runs,Christchurch,"Feb 7, 2008",T20I # 54
54,4,Pakistan,Bangladesh,Pakistan,102 runs,Karachi,"Apr 20, 2008",T20I # 55
55,5,England,New Zealand,England,9 wickets,Manchester,"Jun 13, 2008",T20I # 56
56,6,West Indies,Australia,West Indies,7 wickets,Bridgetown,"Jun 20, 2008",T20I # 57
57,7,Kenya,Netherlands,Netherlands,19 runs,Belfast,"Aug 2, 2008",T20I # 58
58,8,Ireland,Scotland,Ireland,4 wickets,Belfast,"Aug 2, 2008",T20I # 59
59,9,Canada,Netherlands,Canada,4 wickets,Belfast,"Aug 2, 2008",T20I # 60
